discounts,offer,offerer,responder,response
"[1, 1]",0.01,4,2,counter
"[1, 1]",0.5,8,9,reject
"[1, 1]",0.01,0,1,counter
"[1, 1]",0.01,5,3,reject
"[1, 1]",0.1,7,6,accept
"[0.9, 0.9]",0.745,2,4,counter
"[1, 0.9]",0.01,5,8,accept
"[0.9, 1]",0.5,9,1,accept
"[0.9, 0.9]",0.745,1,0,counter
"[0.9, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.81, 0.81]",0.01,4,2,counter
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.5,1,9,reject
"[0.81, 0.81]",0.36666666666666664,0,1,counter
"[0.9, 0.81]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.7290000000000001, 0.7290000000000001]",0.745,2,4,counter
"[0.9, 0.9]",0.01,5,8,accept
"[1, 0.9]",0.5,6,9,reject
"[0.7290000000000001, 0.7290000000000001]",0.5666666666666667,1,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.6561000000000001, 0.6561000000000001]",0.01,4,2,counter
"[1, 1]",0.5,8,5,counter
"[1, 0.81]",0.1,7,9,reject
"[0.6561000000000001, 0.6561000000000001]",0.33694444444444444,0,1,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.5904900000000002, 0.5904900000000002]",0.745,2,4,counter
"[0.9, 0.9]",0.01,5,8,accept
"[0.7290000000000001, 1]",0.5,9,2,accept
"[0.5904900000000002, 0.5904900000000002]",0.5815277777777778,1,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.5314410000000002, 0.5314410000000002]",0.01,4,2,counter
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.5,2,9,reject
"[0.5314410000000002, 0.5314410000000002]",0.3394212962962963,0,1,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.47829690000000014, 0.47829690000000014]",0.745,2,4,counter
"[0.9, 0.9]",0.01,5,8,accept
"[1, 0.9]",0.01,5,9,reject
"[0.47829690000000014, 0.47829690000000014]",0.5802893518518518,1,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.43046721000000016, 0.43046721000000016]",0.01,4,2,counter
"[1, 1]",0.5,8,5,counter
"[1, 0.81]",0.5,2,9,reject
"[0.43046721000000016, 0.43046721000000016]",0.25754822530864196,0,1,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.38742048900000015, 0.38742048900000015]",0.745,2,4,counter
"[0.9, 0.9]",0.01,5,8,accept
"[0.7290000000000001, 1]",0.5,9,3,accept
"[0.38742048900000015, 0.38742048900000015]",0.6212258873456791,1,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.34867844010000015, 0.34867844010000015]",0.01,4,2,counter
"[1, 1]",0.5,8,5,counter
