discounts,num_players,odd_player,scores,avg_score_per_round,avg_score_per_offer,table_count,total_tables,round
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[0.5, 0.5, 0.9, 0.5, 0.99, 0.51, 0.1, 0.5, 0.5]","[0.5, 0.5, 0.9, 0.5, 0.99, 0.51, 0.1, 0.5, 0.5]","[0.25, 0.25, 0.45, 0.25, 0.495, 0.1275, 0.05, 0.25, 0.25]","[1, 1, 1, 1, 1, 2, 1, 1, 1]","[2, 2, 2, 2, 2, 4, 2, 2, 2]",1
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[0.5, 1.0, 0.9, 0.5, 0.99, 1.01, 0.1, 1.0, 1.0]","[0.25, 0.5, 0.45, 0.25, 0.495, 0.505, 0.05, 0.5, 0.5]","[0.125, 0.3333333333333333, 0.3, 0.16666666666666666, 0.33, 0.16833333333333333, 0.03333333333333333, 0.25, 0.3333333333333333]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[4, 3, 3, 3, 3, 6, 3, 4, 3]",2
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[1.3699000000000001, 1.5, 1.35, 1.0301, 1.881, 1.519, 0.55, 2.0, 1.5]","[0.4566333333333334, 0.5, 0.45, 0.34336666666666665, 0.627, 0.5063333333333333, 0.18333333333333335, 0.6666666666666666, 0.5]","[0.2283166666666667, 0.375, 0.3375, 0.257525, 0.47025, 0.189875, 0.1375, 0.3333333333333333, 0.375]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[6, 4, 4, 4, 4, 8, 4, 6, 4]",3
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[1.3699000000000001, 2.0, 1.35, 1.0301, 1.881, 2.019, 1.05, 3.0, 2.0]","[0.34247500000000003, 0.5, 0.3375, 0.257525, 0.47025, 0.50475, 0.2625, 0.75, 0.5]","[0.17123750000000001, 0.4, 0.27, 0.20602, 0.3762, 0.20190000000000002, 0.21000000000000002, 0.375, 0.4]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[8, 5, 5, 5, 5, 10, 5, 8, 5]",4
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[2.059825, 2.5, 1.98, 1.510175, 2.7720000000000002, 2.528, 1.55, 4.0, 2.5]","[0.411965, 0.5, 0.396, 0.302035, 0.5544, 0.5056, 0.31, 0.8, 0.5]","[0.2059825, 0.4166666666666667, 0.33, 0.25169583333333334, 0.462, 0.21066666666666667, 0.25833333333333336, 0.4, 0.4166666666666667]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[10, 6, 6, 6, 6, 12, 6, 10, 6]",5
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[2.059825, 3.0, 1.98, 1.510175, 2.7720000000000002, 3.028, 2.05, 5.0, 3.0]","[0.3433041666666667, 0.5, 0.33, 0.25169583333333334, 0.462, 0.5046666666666667, 0.3416666666666666, 0.8333333333333334, 0.5]","[0.17165208333333334, 0.42857142857142855, 0.28285714285714286, 0.21573928571428572, 0.396, 0.21628571428571428, 0.2928571428571428, 0.4166666666666667, 0.42857142857142855]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[12, 7, 7, 7, 7, 14, 7, 12, 7]",6
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[2.76058125, 3.5, 2.61, 1.97941875, 3.6630000000000003, 3.537, 2.55, 6.0, 3.5]","[0.39436875, 0.5, 0.37285714285714283, 0.28277410714285717, 0.5232857142857144, 0.5052857142857142, 0.36428571428571427, 0.8571428571428571, 0.5]","[0.197184375, 0.4375, 0.32625, 0.24742734375, 0.45787500000000003, 0.2210625, 0.31875, 0.42857142857142855, 0.4375]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[14, 8, 8, 8, 8, 16, 8, 14, 8]",7
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[2.76058125, 4.0, 2.61, 1.97941875, 3.6630000000000003, 4.037, 3.05, 7.0, 4.0]","[0.34507265625, 0.5, 0.32625, 0.24742734375, 0.45787500000000003, 0.504625, 0.38125, 0.875, 0.5]","[0.172536328125, 0.4444444444444444, 0.29, 0.21993541666666666, 0.40700000000000003, 0.22427777777777777, 0.33888888888888885, 0.4375, 0.4444444444444444]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[16, 9, 9, 9, 9, 18, 9, 16, 9]",8
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[3.4604348958333335, 4.5, 3.2399999999999998, 2.4495651041666666, 4.554, 4.546, 3.55, 8.0, 4.5]","[0.3844927662037037, 0.5, 0.36, 0.27217390046296297, 0.506, 0.5051111111111112, 0.39444444444444443, 0.8888888888888888, 0.5]","[0.19224638310185185, 0.45, 0.32399999999999995, 0.24495651041666666, 0.4554, 0.2273, 0.355, 0.4444444444444444, 0.45]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[18, 10, 10, 10, 10, 20, 10, 18, 10]",9
